idx;real;
0;495.655430;
0;495.604839;
0;495.553957;
0;495.502783;
0;495.451318;
0;495.399561;
0;495.347513;
0;495.295173;
0;495.242542;
0;495.189620;
0;495.136406;
0;495.082901;
0;495.029105;
0;494.975018;
0;494.920639;
0;494.865970;
0;494.811009;
0;494.755757;
0;494.700214;
0;494.644380;
0;494.588255;
0;494.531839;
0;494.475132;
0;494.418135;
0;494.360846;
0;494.303267;
0;494.245396;
0;494.187236;
0;494.128784;
0;494.070042;
0;494.011009;
0;493.951685;
0;493.892071;
0;493.832166;
0;493.771971;
0;493.711485;
0;493.650709;
0;493.589643;
0;493.528286;
0;493.466638;
0;493.404701;
0;493.342473;
0;493.279955;
0;493.217147;
0;493.154049;
0;493.090660;
0;493.026982;
0;492.963013;
0;492.898755;
0;492.834206;
0;492.769368;
0;492.704239;
0;492.638821;
0;492.573113;
0;492.507116;
0;492.440828;
0;492.374251;
0;492.307384;
0;492.240228;
0;492.172782;
0;492.105046;
0;492.037021;
0;491.968707;
0;491.900103;
0;491.831210;
0;491.762027;
0;491.692555;
0;491.622794;
0;491.552744;
0;491.482404;
0;491.411776;
0;491.340858;
0;491.269651;
0;491.198155;
0;491.126371;
0;491.054297;
0;490.981935;
0;490.909283;
0;490.836343;
0;490.763114;
0;490.689597;
0;490.615790;
0;490.541696;
0;490.467312;
0;490.392640;
0;490.317680;
0;490.242431;
0;490.166894;
0;490.091068;
0;490.014954;
0;489.938552;
0;489.861861;
0;489.784883;
0;489.707616;
0;489.630061;
0;489.552218;
0;489.474088;
0;489.395669;
0;489.316962;
0;489.237968;
0;489.158685;
0;489.079115;
0;488.999257;
0;488.919112;
0;488.838679;
0;488.757958;
0;488.676950;
0;488.595654;
0;488.514071;
0;488.432201;
0;488.350043;
0;488.267598;
0;488.184866;
0;488.101846;
0;488.018540;
0;487.934946;
0;487.851065;
0;487.766897;
0;487.682443;
0;487.597701;
0;487.512673;
0;487.427357;
0;487.341755;
0;487.255867;
0;487.169691;
0;487.083230;
0;486.996481;
0;486.909446;
0;486.822125;
0;486.734517;
0;486.646623;
0;486.558443;
0;486.469976;
0;486.381223;
0;486.292184;
0;486.202860;
0;486.113249;
0;486.023352;
0;485.933169;
0;485.842700;
0;485.751945;
0;485.660905;
0;485.569579;
0;485.477968;
0;485.386070;
0;485.293888;
0;485.201419;
0;485.108666;
0;485.015627;
0;484.922302;
0;484.828693;
0;484.734798;
0;484.640618;
0;484.546153;
0;484.451402;
0;484.356367;
0;484.261047;
0;484.165442;
0;484.069552;
0;483.973378;
0;483.876919;
0;483.780175;
0;483.683146;
0;483.585833;
0;483.488236;
0;483.390354;
0;483.292187;
0;483.193737;
0;483.095002;
0;482.995983;
0;482.896679;
0;482.797092;
0;482.697221;
0;482.597066;
0;482.496626;
0;482.395903;
0;482.294897;
0;482.193606;
0;482.092032;
0;481.990174;
0;481.888033;
0;481.785608;
0;481.682900;
0;481.579908;
0;481.476633;
0;481.373075;
0;481.269234;
0;481.165110;
0;481.060702;
0;480.956012;
0;480.851038;
0;480.745782;
0;480.640243;
0;480.534421;
0;480.428317;
0;480.321929;
0;480.215260;
0;480.108308;
0;480.001073;
0;479.893556;
0;479.785757;
0;479.677675;
0;479.569311;
0;479.460665;
0;479.351737;
0;479.242528;
0;479.133036;
0;479.023262;
0;478.913207;
0;478.802869;
0;478.692250;
0;478.581350;
0;478.470168;
0;478.358704;
0;478.246959;
0;478.134933;
0;478.022626;
0;477.910037;
0;477.797167;
0;477.684016;
0;477.570584;
0;477.456871;
0;477.342877;
0;477.228603;
0;477.114048;
0;476.999212;
0;476.884095;
0;476.768698;
0;476.653020;
0;476.537062;
0;476.420824;
0;476.304305;
0;476.187506;
0;476.070427;
0;475.953068;
0;475.835429;
0;475.717510;
0;475.599312;
0;475.480833;
0;475.362075;
0;475.243037;
0;475.123719;
0;475.004123;
0;474.884246;
0;474.764090;
0;474.643655;
0;474.522941;
0;474.401947;
0;474.280675;
0;474.159123;
0;474.037293;
0;473.915184;
0;473.792796;
0;473.670129;
0;473.547183;
0;473.423959;
0;473.300457;
0;473.176676;
0;473.052616;
0;472.928279;
0;472.803663;
0;472.678769;
0;472.553597;
0;472.428147;
0;472.302419;
0;472.176413;
0;472.050129;
0;471.923568;
0;471.796729;
0;471.669613;
0;471.542219;
0;471.414547;
0;471.286599;
0;471.158373;
0;471.029870;
0;470.901090;
0;470.772033;
0;470.642698;
0;470.513088;
0;470.383200;
0;470.253035;
0;470.122594;
0;469.991877;
0;469.860882;
0;469.729612;
0;469.598065;
0;469.466242;
0;469.334142;
0;469.201767;
0;469.069116;
0;468.936188;
0;468.802985;
0;468.669506;
0;468.535751;
0;468.401721;
0;468.267415;
0;468.132834;
0;467.997977;
0;467.862845;
0;467.727437;
0;467.591755;
0;467.455797;
0;467.319565;
0;467.183057;
0;467.046275;
0;466.909218;
0;466.771886;
0;466.634280;
0;466.496399;
0;466.358244;
0;466.219815;
0;466.081111;
0;465.942133;
0;465.802881;
0;465.663355;
0;465.523554;
0;465.383481;
0;465.243133;
0;465.102511;
0;464.961616;
0;464.820448;
0;464.679006;
